ra,dec,mag
219.87975734517033,-60.813184568817704,16.51643
219.90278667612958,-60.812902687176404,18.020712
219.88349054020762,-60.80973559941862,20.78227
219.88721981883134,-60.81201729275748,18.28075
219.8920349040884,-60.80842197820796,17.998903
219.87191549058795,-60.80978075158602,20.731375
219.93476006315996,-60.85789890158142,18.662256
219.94776242185287,-60.846247526436464,20.73996
219.940114460081,-60.846697831607976,19.857271
219.93065712564433,-60.85061724852402,19.424921
219.94407538070817,-60.84965417564879,15.083588
219.94523647129196,-60.85382711411653,21.07096
219.9300538297648,-60.854054449905725,20.446257
219.95126038873357,-60.83712230397924,17.335386
219.96303475164555,-60.833289655524446,17.582825
219.85919379748069,-60.80983109069643,18.600016
219.87443532496573,-60.80925774961854,19.129164
219.8754509569412,-60.863577940869455,16.131557
219.86075827124066,-60.856125647500726,19.539114
219.86072473770068,-60.8584776920568,20.358717
219.86243462661682,-60.855294135049604,16.61924
219.86376488504754,-60.85449788446352,15.117069
219.8635925449791,-60.85660124572034,19.525454
219.86372684252817,-60.85742874339477,19.902666
219.86300719751512,-60.856460935150125,18.657953
219.86173506170184,-60.85933208519,20.056227
219.8669077798035,-60.85861723871886,18.379156
219.86945825334323,-60.858302401460406,21.157448
219.86378484142588,-60.859252287232,18.400726
219.90181367845625,-60.81730984304212,16.62105
219.90536732600424,-60.81617613769266,20.952198
219.9105565657009,-60.81350778784147,20.0509
219.91280823567595,-60.823037804452795,18.711193
219.92486580636057,-60.81171875509384,14.261503
219.92196450935091,-60.80659874741523,19.349419
219.93172309676706,-60.80462307013102,20.091537
219.91913246752776,-60.80848182396006,20.302513
219.9339132694268,-60.808816872191635,20.616875
219.9370309782254,-60.809347073104966,20.462881
219.92615639199548,-60.813189874979116,18.444149
219.92675521362446,-60.81313977702162,21.021828
219.93729580714952,-60.813580461991954,18.423666
219.92404777524933,-60.81205236138233,20.279886
219.91548847922562,-60.8108538252343,20.760826
219.91751110715083,-60.81517264084529,20.536913
219.89122058904735,-60.80815549742036,20.696693
219.89665648130932,-60.8130731666039,18.96888
219.89878739494557,-60.80498122512253,18.46483
219.89868113272033,-60.805572615095905,20.79498
219.90013567567996,-60.81509612217141,18.555895
219.90334490360866,-60.80335693384872,19.637989
219.90552623310595,-60.80866727149838,20.389355
219.90538091347918,-60.80282939314907,17.42136
219.91512125443103,-60.80246568563008,17.49733
219.90480392397967,-60.80887716391185,18.651506
219.90280451970594,-60.80176305654434,18.619682
219.90058013799566,-60.80263681495496,19.224665
219.8477072494768,-60.81968809700184,16.324726
219.8533000131608,-60.81029245079984,16.012928
219.87341053804792,-60.810672703690706,20.939497
219.8774174913857,-60.80668514980091,19.934137
219.883030719737,-60.8054660360832,20.623392
219.9236917654665,-60.86459099048284,20.052032
219.8552367051975,-60.85245802037703,19.423273
219.8733258873386,-60.86094932322524,20.303255
219.8673586869299,-60.86068733620525,20.040894
219.8665894288217,-60.859295207355984,20.401077
219.8644390183609,-60.859718086375324,20.484072
219.86656982520302,-60.85659305480273,17.85822
219.90735869309438,-60.846876854386885,20.976177
219.9062710757647,-60.842364724331084,20.567116
219.90685003825462,-60.842874475617116,20.408407
219.9045409495142,-60.84443568141267,18.390402
219.90580203977183,-60.83873976539616,17.96512
219.91128894767567,-60.84271039323777,18.9337
219.91945871728745,-60.84577331174394,18.316221
219.90649206354146,-60.83969703333283,19.5497
219.8992452833994,-60.84166313028763,18.491167
219.91347920325734,-60.842815978093654,20.843191
219.91041469549404,-60.844216762758904,20.748274
219.90893666098697,-60.842352220262796,20.970917
219.9055902020147,-60.83679365042698,20.18516
219.89868316010498,-60.83257040503985,18.353981
219.88559114467128,-60.83112988941768,17.51667
219.90213734370153,-60.835534557966334,18.53974
219.87762699486237,-60.82838344136344,15.401825
219.88014128074033,-60.82522724754039,18.038551
219.87657242022152,-60.82651809710818,16.47771
219.915896629866,-60.838232234536406,16.852974
219.915781737228,-60.8417798874741,19.71131
219.92239773163914,-60.8436728421444,20.537498
219.91331780170142,-60.841143545115415,17.996964
219.91950098973314,-60.841254167552925,18.332047
219.92453011652222,-60.84392993562487,20.658215
219.9179282447394,-60.84190653448656,20.350245
219.92048041080568,-60.84443535526131,17.521017
219.91558555662164,-60.837404536931565,19.2811
219.92254804567403,-60.84243985687346,17.178606
219.9209647247165,-60.845425819435775,20.127039
219.91094354596015,-60.83732204207339,19.449272
219.91439118508794,-60.83947067669964,20.948614
219.90854360812995,-60.834984714397976,20.428917
219.90254096124144,-60.833410209760274,18.16482
219.86793471497816,-60.84333698959463,16.484251
219.8696892739986,-60.840882683522565,16.479784
219.88009392384603,-60.844556687843706,17.947014
219.8741744077171,-60.84722331837075,17.022839
219.858806544271,-60.84493980793802,16.389826
219.86299407495918,-60.84143712488018,15.270286
219.85346409428087,-60.848323705554286,20.178589
219.85094430722214,-60.83379095782909,17.422411
219.85389584291164,-60.84366935724599,17.845278
219.84308257936138,-60.833549474470495,15.917173
219.83839999718782,-60.83388208656048,16.729172
219.83622711458818,-60.83544222862132,18.285412
219.8386516335014,-60.84082584615955,18.800991
219.83794406065968,-60.839523087399485,14.486091
219.8801630191994,-60.81576757966231,20.556349
219.8829190938411,-60.81782110305492,20.900333
219.88546992462798,-60.81860169797436,18.29246
219.9066566446916,-60.843347461484015,20.47928
219.90072494698668,-60.83841308172723,17.19576
219.9030431230816,-60.84129530176385,18.189463
219.9193122169218,-60.84521383109774,19.37063
219.91517910734834,-60.841472632859,20.13779
219.9216770626063,-60.84455953089414,18.57702
219.90822369150325,-60.83716911976849,19.13418
219.91283468481345,-60.83747660780873,20.323795
219.87606149846036,-60.84584417075431,18.09974
219.87185644212678,-60.84284610429591,18.357742
219.86390404029888,-60.83926538254956,18.106464
219.8725792884019,-60.84573563740785,18.40845
219.87343823896305,-60.84542098556488,18.974228
219.85424056097543,-60.847534336343905,20.083248
