ra,dec,gmag
219.78126212922677,-60.825558124429236,17.405687
219.78607116438994,-60.839914119338225,20.489399
219.7913167607299,-60.833716177881364,20.48285
219.7771258310755,-60.8365392683736,20.439445
219.78887034054196,-60.83002273461607,20.468811
219.78963715112303,-60.83868608276862,20.717136
219.7875154681828,-60.838173680716025,16.553108
219.78171633493395,-60.83363477802305,18.418242
219.77376960694957,-60.83266364499124,17.18589
219.77998374836133,-60.831391906254005,19.783058
219.77995994540115,-60.83005690001831,19.117126
219.7767789078431,-60.829022519329804,17.193937
219.77454128213822,-60.829255749503375,19.313011
219.77750385823217,-60.83340619571949,18.260107
219.8057084969022,-60.82757978271856,20.760223
219.79680227993327,-60.83228108213368,18.143063
219.80422031200948,-60.830157864142095,20.881556
219.81113477739655,-60.825897220972934,20.722195
219.81100543595085,-60.82568141654584,18.289848
219.79894301902522,-60.82671580450182,18.875513
219.80511723221494,-60.824783718625675,18.678383
219.79413050043274,-60.82404008271412,18.816185
219.7877155443963,-60.82234732721702,18.49507
219.79709542626426,-60.818031800092804,17.84784
219.79633384998695,-60.83277533789149,20.719662
219.7922977803711,-60.826735843654184,20.984188
219.80071849471142,-60.82582181344937,20.383257
219.79292773669047,-60.82135090823135,20.429611
219.81078017343324,-60.821551586807985,20.089144
219.79768845029443,-60.82708082951347,20.828568
219.7991715388061,-60.815054030954755,20.404737
219.79552598255415,-60.821161367175144,20.699234
219.7964547643834,-60.82278480756983,21.013313
219.79056969752241,-60.82991440017885,20.79503
219.7856456730846,-60.82277308393388,21.019192
219.79870897746315,-60.83269303571746,19.681868
219.7997800406926,-60.83336159435253,18.172096
219.79895255714587,-60.830047193635366,19.680746
219.8018363952524,-60.819707695575005,17.5819
219.7936771464191,-60.82816024015498,20.40633
219.79605072984094,-60.82537635142902,20.920185
219.80779279259832,-60.82927449758605,20.712862
219.7991478920986,-60.82919576135538,21.211267
219.79526595839155,-60.83335963144324,16.546715
219.7912677155234,-60.82834121627777,20.238985
219.823707894533,-60.82794930242652,20.90542
219.77842936243326,-60.823338718662264,18.46891
219.77738469644683,-60.820580199093385,16.426033
219.785840993627,-60.81918405931395,18.48435
219.78639055985255,-60.81924607130277,19.750753
219.79230624236166,-60.81029382679656,20.638052
219.7833868516124,-60.814858177069326,20.823303
219.78039662120173,-60.815506488878434,20.690968
219.78584857038894,-60.82095719828235,16.585712
219.78293594556115,-60.8179108562889,17.033558
219.78443876154608,-60.81713372400662,16.40206
219.78888297996122,-60.81240969645488,20.164047
219.8142993564753,-60.83864556060408,18.14845
219.81009468576778,-60.841416462010265,19.663034
219.81489134012725,-60.83998185490755,20.457497
219.8171246413875,-60.83954144723277,18.46949
219.81309982670933,-60.836409340933294,16.722425
219.81849514361247,-60.834272977361,20.588469
219.81495283578633,-60.841340420479355,21.150152
219.81369084850965,-60.83690616442814,18.027275
219.82313173241081,-60.837835762622504,17.810965
219.8152712086892,-60.83783373106607,19.357944
219.81635024534688,-60.83867960442269,18.284096
219.82976396988525,-60.83251250593075,17.523558
219.77708920012293,-60.8370876504569,18.792845
219.78414871800692,-60.83549732306751,20.26194
219.77693899210436,-60.839668608441464,20.334417
219.78995406566028,-60.83577283809121,20.463257
219.78273447174612,-60.83731926072777,20.398367
219.78050884718002,-60.83891597847446,20.872118
219.789860457669,-60.836531090083895,16.10297
219.7877400749427,-60.83378083035419,20.491373
219.78746024050255,-60.82901398598432,14.283241
219.7817122234653,-60.826949032801416,19.566765
219.79424420457545,-60.83517409245292,20.705435
219.79201174194753,-60.82565430235311,19.36004
219.800019451833,-60.821534810580694,19.499695
219.79142971601377,-60.818942501938054,20.080994
219.79202369625497,-60.82212218193885,21.241972
219.79745080965938,-60.82449593766413,14.125752
219.80494066205208,-60.82990917676922,19.000336
219.78928346376395,-60.81353424431644,20.679361
219.80337659048146,-60.84193125283754,19.283478
219.79898371264147,-60.84515223674705,20.439985
219.8209360598472,-60.83698762334152,19.190954
219.81513572645653,-60.84023657798876,20.501064
219.81057981979632,-60.84348547959604,20.576828
219.80975195781903,-60.842807082175256,21.066034
219.811400482786,-60.82850481309156,14.923427
219.80109718607153,-60.84316574174927,15.607465
219.80825425903942,-60.84210328382464,19.156424
219.77921079060417,-60.832386214553864,20.56909
219.77843441167892,-60.82412673845929,21.021675
219.7776808265057,-60.82232468137276,20.810925
219.77921826917137,-60.82534781054991,16.71841
219.82017057186846,-60.83126308148828,17.701918
219.81502557916025,-60.836430341045386,20.85321
219.8110483441686,-60.83219066209764,20.742712
219.80624798171283,-60.827386868912846,19.970032
219.81155885307172,-60.82486926776684,20.229225
219.79843491462358,-60.82550971887304,19.062849
219.80034886054588,-60.821355137152594,17.482862
219.8053318456006,-60.825835895662266,20.993074
219.82766006178974,-60.82997018907786,18.443018
219.78681152573114,-60.82112117769061,21.078802
219.79080380621014,-60.81051755440932,21.024954
219.78311823581095,-60.81187645801085,18.53443
219.7833162660582,-60.812997176538886,19.54329
219.7945038866276,-60.85094924831134,20.300442
219.7949157838754,-60.85103277631627,19.709677
219.78876137726826,-60.848417847432415,19.337162
219.78840330449742,-60.84469734613695,18.401619
219.80559601864607,-60.84704638170005,19.702616
219.79835690476847,-60.842547574567945,20.55652
219.7857571264962,-60.84636021310234,13.875922
219.78408556141423,-60.84641420677027,20.026423
219.79845400827335,-60.83632741008837,20.722818
219.80788833658625,-60.83103495147006,19.752934
219.81525176786738,-60.838780841535986,20.05538
219.78996280921334,-60.84021225464267,18.323849
219.79373919187944,-60.849774350156736,19.051666
219.80043322890577,-60.847420252491396,20.965483
219.79654871895048,-60.846762396845264,18.334002
219.78355873496218,-60.84530016561014,20.544952
219.80977010339083,-60.8414381274073,19.161104
219.81448441486972,-60.84248943752714,20.456238
219.79553110005443,-60.836978022567834,18.956804
219.77943409789043,-60.832471851437866,20.771265
219.78061978668376,-60.84157475495523,20.744116
219.78006671099024,-60.833645627937855,20.2087
219.77460104357533,-60.83403721282621,21.201807
219.77732378439762,-60.82664899680669,19.4705
219.81723606358744,-60.841656952397614,20.12947
219.8195121482317,-60.8252668243782,20.693361
219.80677216862463,-60.83368931397471,16.550508
219.79304239269445,-60.82247168028657,20.323797
219.80279879098526,-60.826988777481006,20.56088
219.79923397876152,-60.82087576584305,21.024265
219.8128360043041,-60.826336845259746,17.485804
219.80279040554277,-60.82795535894648,19.919838
219.82348192350506,-60.824366453103245,19.960835
219.82296885704926,-60.8184997790949,18.595774
219.8048449274591,-60.81077291703402,19.511898
219.83097030080464,-60.81410493512896,18.244225
219.7932562819734,-60.81524587056172,18.6739
219.79597873165582,-60.8139230348437,18.800652
219.79035040430355,-60.818657885286875,20.996199
219.90181367845625,-60.81730984304212,16.62105
219.89122058904735,-60.80815549742036,20.696693
219.89665648130932,-60.8130731666039,18.96888
219.90013567567996,-60.81509612217141,18.555895
219.84161233395804,-60.80099875160659,19.741535
219.8477072494768,-60.81968809700184,16.324726
219.84787437027444,-60.81050628867263,19.02662
219.8533000131608,-60.81029245079984,16.012928
219.8191908186021,-60.80762383404811,19.026531
219.821482926626,-60.80887921152781,21.111261
219.85370004236495,-60.801209345105214,20.776146
219.85492737910909,-60.80139934371544,18.633837
219.83673839138797,-60.80401894104933,17.07766
219.81396187220486,-60.80300427964613,20.998207
219.87341053804792,-60.810672703690706,20.939497
219.86524851913492,-60.80152490205179,20.35772
219.8774174913857,-60.80668514980091,19.934137
219.86134395504897,-60.80298040323835,20.960634
219.87215917811926,-60.80149038367517,19.212934
219.883030719737,-60.8054660360832,20.623392
219.85999869040748,-60.79703637589769,19.664513
219.7911937721289,-60.80749104050514,19.600773
219.82029814384777,-60.79762407617602,21.138006
219.85727931061996,-60.82336269971214,18.193443
219.86493126137836,-60.82272312541369,17.028261
219.86329454534868,-60.822574664005394,17.451933
219.8405482269187,-60.81724331838561,19.058191
219.83781075623926,-60.817941306131935,17.325468
219.8416245579288,-60.816963649002496,15.181012
219.84789148960033,-60.81152257419077,20.027473
219.84905738139832,-60.81342770580718,17.712296
219.85250740427966,-60.81489437657428,18.03388
219.84691858458297,-60.81247223298955,20.170145
219.84287620069358,-60.8093309914406,19.815502
219.8518694385438,-60.81258522486907,15.372367
